,taxid,family,genus_species,amr_fullname,gram_status,pathogenicity,I6_occupancy
40,576784,Streptomycetaceae,Streptomyces iranensis,Streptomyces iranensis,Gram-positive,Potentially pathogenic,37
41,1218352,Pseudomonadaceae,Stutzerimonas stutzeri,Pseudomonas stutzeri,Gram-negative,Pathogenic,55
42,1460635,Fam_of_Geomicrobium,Geomicrobium sp. JCM 19038,(unknown name),Gram-positive,Unknown,8
43,1460636,Fam_of_Geomicrobium,Geomicrobium sp. JCM 19039,(unknown name),Gram-positive,Unknown,9
44,1280954,Hyphomonadaceae,Hyphomonas polymorpha,Hyphomonas polymorpha,Gram-negative,Non-pathogenic,46
45,1192124,Burkholderiaceae,Burkholderia sp. lig30,Burkholderia lata,Gram-negative,Pathogenic,52
46,1482739,Bacillaceae,Geobacillus sp. CAMR5420,Lacticaseibacillus casei,Gram-positive,Potentially pathogenic,12
47,1492738,Flavobacteriaceae,Flavobacterium seoulense,Flavobacterium seoulense,Gram-negative,Potentially pathogenic,55
48,1348663,Streptomycetaceae,Kitasatospora cheerisanensis,Kitasatospora cheerisanensis,Gram-positive,Non-pathogenic,37
49,685782,Bartonellaceae,Bartonella rochalimae,Bartonella rochalimae,Gram-negative,Potentially pathogenic,50
50,1134510,Bartonellaceae,Bartonella koehlerae,Bartonella koehlerae,Gram-negative,Pathogenic,50
51,1288313,Acetobacteraceae,Gluconobacter oxydans,Gluconobacter oxydans,Gram-negative,Non-pathogenic,51
52,1147,Merismopediaceae,Synechocystis sp. PCC 6714,(unknown name),Gram-negative,Unknown,5
53,1354304,Morganellaceae,Xenorhabdus poinarii,Xenorhabdus poinarii,Gram-negative,Non-pathogenic,51
54,1347341,Yersiniaceae,Serratia symbiotica,Serratia symbiotica,Gram-negative,Potentially pathogenic,56
55,1028800,Rhizobiaceae,Neorhizobium galegae,Neorhizobium galegae,Gram-negative,Non-pathogenic,51
56,1028801,Rhizobiaceae,Neorhizobium galegae,Neorhizobium galegae,Gram-negative,Non-pathogenic,51
57,1504672,Comamonadaceae,Polaromonas sp. CG9_12,Porphyromonas levii,Gram-negative,Pathogenic,52
58,1499968,Paenibacillaceae,Paenibacillus sp. TCA20,Paenibacillus alvei,Gram-positive,Pathogenic,6
59,1121097,Bacteroidaceae,Bacteroides graminisolvens,Bacteroides graminisolvens,Gram-negative,Potentially pathogenic,55
60,1470558,Burkholderiaceae,Cupriavidus sp. SK-3,Cupriavidus paucula,Gram-negative,Pathogenic,52
61,1495854,Caulobacteraceae,Brevundimonas sp. EAKA,Brevundimonas diminuta,Gram-negative,Pathogenic,48
62,1487711,Streptomycetaceae,Streptomyces sp. NTK 937,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
63,1071679,Burkholderiaceae,Caballeronia grimmiae,Caballeronia grimmiae,Gram-negative,Non-pathogenic,52
64,60547,Burkholderiaceae,Caballeronia glathei,Caballeronia glathei,Gram-negative,Non-pathogenic,52
65,287,Pseudomonadaceae,Pseudomonas aeruginosa,Pseudomonas aeruginosa,Gram-negative,Pathogenic,55
66,1122985,Prevotellaceae,Hoylesella loescheii,Prevotella loescheii,Gram-negative,Pathogenic,55
67,1339341,Tannerellaceae,Parabacteroides distasonis,Parabacteroides distasonis,Gram-negative,Pathogenic,55
68,1339352,Bacteroidaceae,Phocaeicola vulgatus,Phocaeicola vulgatus,Gram-negative,Pathogenic,55
69,1224318,Enterobacteriaceae,Mangrovibacter sp. MFB070,Rapidly growing Mycobacterium (RGM),Gram-positive,Pathogenic,55
70,95486,Burkholderiaceae,Burkholderia cenocepacia,Burkholderia cenocepacia,Gram-negative,Pathogenic,52
71,1293911,Bartonellaceae,Bartonella bacilliformis,Bartonella bacilliformis,Gram-negative,Pathogenic,50
72,388467,Microcoleaceae,Planktothrix agardhii,Planktothrix agardhii,Gram-negative,Non-pathogenic,5
73,1300350,Roseobacteraceae,Sulfitobacter donghicola,Sulfitobacter donghicola,Gram-negative,Non-pathogenic,51
74,1353537,Paracoccaceae,Thioclava pacifica,Thioclava pacifica,Gram-negative,Non-pathogenic,51
75,1353532,Thalassospiraceae,Thalassospira permensis,Thalassospira permensis,Gram-negative,Non-pathogenic,51
76,1385367,Neisseriaceae,Snodgrassella alvi,Snodgrassella alvi,Gram-negative,Non-pathogenic,51
77,403957,Bacillaceae,Virgibacillus sp. SK37,Lysinibacillus sphaericus,Gram-positive,Pathogenic,8
78,1244531,Campylobacteraceae,Campylobacter iguaniorum,Campylobacter iguaniorum,Gram-negative,Potentially pathogenic,44
79,1280380,Synechococcaceae,Synechococcus sp. KORDI-100,(unknown name),Gram-negative,Unknown,7
80,585423,Synechococcaceae,Synechococcus sp. KORDI-49,(unknown name),Gram-negative,Unknown,9
81,585425,Synechococcaceae,Synechococcus sp. KORDI-52,(unknown name),Gram-negative,Unknown,7
82,357276,Bacteroidaceae,Phocaeicola dorei,Phocaeicola dorei,Gram-negative,Potentially pathogenic,55
83,667120,Hafniaceae,Edwardsiella anguillarum,Edwardsiella anguillarum,Gram-negative,Potentially pathogenic,56
84,1338011,Weeksellaceae,Elizabethkingia anophelis,Elizabethkingia anophelis,Gram-negative,Pathogenic,55
85,237609,Pseudomonadaceae,Pseudomonas alkylphenolica,Pseudomonas alkylphenolica,Gram-negative,Potentially pathogenic,55
86,878220,Weeksellaceae,Chryseobacterium sp. StRB126,Chryseobacterium hominis,Gram-negative,Pathogenic,55
87,1352,Enterococcaceae,Enterococcus faecium,Enterococcus faecium,Gram-positive,Pathogenic,8
88,1028989,Pseudomonadaceae,Pseudomonas sp. StFLB209,Pseudomonas putida,Gram-negative,Pathogenic,55
89,1398201,Morganellaceae,Xenorhabdus bovienii,Xenorhabdus bovienii,Gram-negative,Non-pathogenic,55
90,1398200,Morganellaceae,Xenorhabdus bovienii,Xenorhabdus bovienii,Gram-negative,Non-pathogenic,55
91,1398202,Morganellaceae,Xenorhabdus bovienii,Xenorhabdus bovienii,Gram-negative,Non-pathogenic,55
92,1398203,Morganellaceae,Xenorhabdus bovienii,Xenorhabdus bovienii,Gram-negative,Non-pathogenic,55
93,1398204,Morganellaceae,Xenorhabdus bovienii,Xenorhabdus bovienii,Gram-negative,Non-pathogenic,51
94,1379677,Morganellaceae,Xenorhabdus bovienii,Xenorhabdus bovienii,Gram-negative,Non-pathogenic,55
95,403776,Sphingobacteriaceae,Sphingobacterium sp. PM2-P1-29,Sphingobacterium multivorum,Gram-negative,Pathogenic,54
96,545,Enterobacteriaceae,Citrobacter koseri,Citrobacter koseri,Gram-negative,Pathogenic,52
97,1461583,Planococcaceae,Metalysinibacillus saudimassiliensis,Metalysinibacillus saudimassiliensis,Gram-positive,Non-pathogenic,6
98,1291743,Lactobacillaceae,Secundilactobacillus oryzae,Secundilactobacillus oryzae,Gram-positive,Non-pathogenic,7
99,1368415,Rhizobiaceae,Agrobacterium rubi,Agrobacterium rubi,Gram-negative,Potentially pathogenic,51
100,1496688,Prochlorococcaceae,Cyanobium sp. CACIAM 14,(unknown name),Gram-negative,Unknown,7
101,1393735,Morganellaceae,Photorhabdus temperata,Photorhabdus temperata,Gram-negative,Potentially pathogenic,55
102,210,Helicobacteraceae,Helicobacter pylori,Helicobacter pylori,Gram-negative,Pathogenic,44
103,1410619,Yersiniaceae,Serratia sp. DD3,Serratia ficaria,Gram-negative,Pathogenic,51
104,1506588,Burkholderiaceae,Burkholderia sp. MSh2,Burkholderia lata,Gram-negative,Pathogenic,52
105,1517681,Vibrionaceae,Vibrio sp. ER1A,Vibrio cidicii,Gram-negative,Pathogenic,56
106,1197477,Flavobacteriaceae,Mangrovimonas yunxiaonensis,Mangrovimonas yunxiaonensis,Gram-negative,Non-pathogenic,55
107,472175,Phyllobacteriaceae,Nitratireductor basaltis,Nitratireductor basaltis,Gram-negative,Non-pathogenic,51
108,1005994,Enterobacteriaceae,Trabulsiella guamensis,Trabulsiella guamensis,Gram-negative,Non-pathogenic,51
109,421072,Weeksellaceae,Epilithonimonas lactis,Chryseobacterium halperniae,Gram-negative,Potentially pathogenic,55
110,1117645,Weeksellaceae,Elizabethkingia anophelis,Elizabethkingia anophelis,Gram-negative,Pathogenic,55
111,1502852,Oxalobacteraceae,Massilia sp. LC238,Massilia timonae,Gram-negative,Pathogenic,52
112,1502851,Boseaceae,Bosea sp. LC85,Salmonella Leda,Gram-negative,Pathogenic,51
113,910964,Yersiniaceae,Ewingella americana,Ewingella americana,Gram-negative,Pathogenic,56
114,1006004,Enterobacteriaceae,Buttiauxella agrestis,Buttiauxella agrestis,Gram-negative,Potentially pathogenic,51
115,558152,Weeksellaceae,Chryseobacterium piperi,Chryseobacterium piperi,Gram-negative,Potentially pathogenic,55
116,1549810,Methylobacteriaceae,Microvirga sp. BSC39,Microvirgula dispar,Gram-negative,Potentially pathogenic,51
117,1219045,Sphingomonadaceae,Sphingobium herbicidovorans,Sphingobium herbicidovorans,Gram-negative,Non-pathogenic,51
118,1549812,Oxalobacteraceae,Massilia sp. BSC265,Massilia timonae,Gram-negative,Pathogenic,52
119,633150,Pseudomonadaceae,Pseudomonas sp. 1-7,Pseudomonas,Gram-negative,Potentially pathogenic,55
120,244366,Enterobacteriaceae,Klebsiella variicola,Klebsiella variicola,Gram-negative,Pathogenic,52
121,1525753,Streptomycetaceae,Streptomyces sp. JS01,Streptomyces,Gram-positive,Potentially pathogenic,37
122,1524467,Yersiniaceae,Serratia sp. Ag1,Serratia fonticola,Gram-negative,Pathogenic,56
123,1537915,Sulfurospirillaceae,Sulfurospirillum sp. SCADC,(unknown name),Gram-negative,Unknown,44
124,1522072,Sphingomonadaceae,Sphingobium sp. ba1,Sphingobacterium multivorum,Gram-negative,Pathogenic,51
125,1501268,Prochlorococcaceae,Prochlorococcus sp. MIT 0604,(unknown name),Gram-negative,Unknown,9
126,1501269,Prochlorococcaceae,Prochlorococcus sp. MIT 0801,(unknown name),Gram-negative,Unknown,7
127,69974,Phyllobacteriaceae,Mesorhizobium plurifarium,Mesorhizobium plurifarium,Gram-negative,Non-pathogenic,51
128,408180,Phyllobacteriaceae,Mesorhizobium sp. ORS 3324,(unknown name),Gram-negative,Unknown,51
129,408184,Phyllobacteriaceae,Mesorhizobium sp. ORS 3359,(unknown name),Gram-negative,Unknown,51
130,1505946,Phyllobacteriaceae,Mesorhizobium sp. SOD10,(unknown name),Gram-negative,Unknown,51
131,1401327,Enterobacteriaceae,Shigella dysenteriae,Shigella dysenteriae,Gram-negative,Pathogenic,52
132,990268,Vibrionaceae,Vibrio maritimus,Vibrio maritimus,Gram-negative,Potentially pathogenic,56
133,1115515,Enterobacteriaceae,Pseudescherichia vulneris,Pseudescherichia vulneris,Gram-negative,Pathogenic,51
134,1517416,Idiomarinaceae,Pseudidiomarina atlantica,Pseudidiomarina atlantica,Gram-negative,Non-pathogenic,53
135,104102,Acetobacteraceae,Acetobacter tropicalis,Acetobacter tropicalis,Gram-negative,Potentially pathogenic,51
136,1502850,Sphingomonadaceae,Sphingopyxis sp. LC81,Sphingomonas devorans,Gram-negative,Pathogenic,51
137,1120705,Sphingomonadaceae,Sphingopyxis sp. LC363,Sphingomonas devorans,Gram-negative,Pathogenic,51
138,28450,Burkholderiaceae,Burkholderia pseudomallei,Burkholderia pseudomallei,Gram-negative,Pathogenic,52
139,1532558,Rhizobiaceae,Rhizobium sp. YS-1r,Agrobacterium radiobacter,Gram-negative,Pathogenic,51
140,1265313,Halieaceae,Pseudohaliea rubra,Pseudohaliea rubra,Gram-negative,Non-pathogenic,52
141,1532557,Alcaligenaceae,Achromobacter sp. RTa,Achromobacter insuavis,Gram-negative,Pathogenic,52
142,1401065,Alcaligenaceae,Oligella urethralis,Oligella urethralis,Gram-negative,Pathogenic,52
143,1401075,Prevotellaceae,Prevotella disiens,Prevotella disiens,Gram-negative,Pathogenic,55
144,1401073,Prevotellaceae,Prevotella melaninogenica,Prevotella melaninogenica,Gram-negative,Pathogenic,55
145,1401068,Prevotellaceae,Prevotella bivia,Prevotella bivia,Gram-negative,Pathogenic,55
146,1453496,Hafniaceae,Hafnia alvei,Hafnia alvei,Gram-negative,Pathogenic,56
147,1562970,Dysgonomonadaceae,Fermentimonas caenicola,Fermentimonas caenicola,Gram-negative,Non-pathogenic,55
148,1476857,Bacillaceae,Bacillus sp. B-jedd,Brevibacillus brevis,Gram-positive,Pathogenic,8
149,1212491,Legionellaceae,Legionella fallonii,Legionella fallonii,Gram-negative,Potentially pathogenic,54
150,1535422,Colwelliaceae,Thalassotalea sp. ND16A,(unknown name),Gram-negative,Unknown,55
151,1225651,Roseobacteraceae,Thalassobacter sp. 16PALIMAR09,(unknown name),Gram-negative,Unknown,51
152,1250005,Flavobacteriaceae,Polaribacter sp. Hel1_85,Pluralibacter gergoviae,Gram-negative,Pathogenic,55
153,1538295,Fam_of_Aquabacterium,Aquabacterium sp. NJ1,Trueperella pyogenes,Gram-positive,Pathogenic,52
154,1288298,Roseobacteraceae,Roseovarius mucosus,Roseovarius mucosus,Gram-negative,Non-pathogenic,51
155,984195,Pseudomonadaceae,Pseudomonas sp. SHC52,Pseudomonas fulva,Gram-negative,Pathogenic,55
156,449439,Microcystaceae,Microcystis aeruginosa,Microcystis aeruginosa,Gram-negative,Non-pathogenic,4
157,1219049,Sphingomonadaceae,Sphingomonas parapaucimobilis,Sphingomonas parapaucimobilis,Gram-negative,Potentially pathogenic,50
158,1395571,Pseudomonadaceae,Pseudomonas taeanensis,Pseudomonas taeanensis,Gram-negative,Potentially pathogenic,55
159,1324332,Pseudomonadaceae,Pseudomonas fluorescens,Pseudomonas fluorescens,Gram-negative,Pathogenic,55
160,59925,Prochlorococcaceae,Prochlorococcus marinus,Prochlorococcus marinus,Gram-negative,Non-pathogenic,9
161,167544,Prochlorococcaceae,Prochlorococcus marinus,Prochlorococcus marinus,Gram-negative,Non-pathogenic,9
162,93057,Prochlorococcaceae,Prochlorococcus marinus,Prochlorococcus marinus,Gram-negative,Non-pathogenic,9
163,74545,Prochlorococcaceae,Prochlorococcus marinus,Prochlorococcus marinus,Gram-negative,Non-pathogenic,9
164,167548,Prochlorococcaceae,Prochlorococcus marinus,Prochlorococcus marinus,Gram-negative,Non-pathogenic,9
165,167551,Prochlorococcaceae,Prochlorococcus marinus,Prochlorococcus marinus,Gram-negative,Non-pathogenic,9
166,59926,Prochlorococcaceae,Prochlorococcus marinus,Prochlorococcus marinus,Gram-negative,Non-pathogenic,9
167,1499498,Prochlorococcaceae,Prochlorococcus sp. MIT 0601,(unknown name),Gram-negative,Unknown,9
168,1499499,Prochlorococcaceae,Prochlorococcus sp. MIT 0602,(unknown name),Gram-negative,Unknown,9
169,59924,Prochlorococcaceae,Prochlorococcus marinus,Prochlorococcus marinus,Gram-negative,Non-pathogenic,7
170,1499502,Prochlorococcaceae,Prochlorococcus sp. MIT 0701,(unknown name),Gram-negative,Unknown,7
171,1515615,Porphyromonadaceae,Porphyromonas sp. COT-290 OH860,Porphyromonas macacae,Gram-negative,Pathogenic,55
172,1300343,Flavobacteriaceae,Dokdonia donghaensis,Dokdonia donghaensis,Gram-negative,Non-pathogenic,55
173,1406840,Flavobacteriaceae,Flavobacterium beibuense,Flavobacterium beibuense,Gram-negative,Potentially pathogenic,54
174,1121895,Flavobacteriaceae,Flavobacterium rivuli,Flavobacterium rivuli,Gram-negative,Potentially pathogenic,55
175,1385514,Bacillaceae,Pontibacillus yanchengensis,Pontibacillus yanchengensis,Gram-positive,Non-pathogenic,12
176,1385513,Bacillaceae,Pontibacillus chungwhensis,Pontibacillus chungwhensis,Gram-positive,Non-pathogenic,6
177,1245745,Cordycipitaceae,Beauveria bassiana,Beauveria bassiana,Unknown,Potentially pathogenic,51
178,1384057,Planococcaceae,Ureibacillus sinduriensis,Ureibacillus sinduriensis,Gram-positive,Potentially pathogenic,6
179,1384049,Planococcaceae,Ureibacillus manganicus,Ureibacillus manganicus,Gram-positive,Potentially pathogenic,6
180,1220589,Bacillaceae,Lysinibacillus odysseyi,Lysinibacillus odysseyi,Gram-positive,Potentially pathogenic,6
181,1211035,Planococcaceae,Ureibacillus massiliensis,Ureibacillus massiliensis,Gram-positive,Potentially pathogenic,6
182,546,Enterobacteriaceae,Citrobacter freundii,Citrobacter freundii,Gram-negative,Pathogenic,52
183,582,Morganellaceae,Morganella morganii,Morganella morganii,Gram-negative,Pathogenic,51
184,104605,Sphingomonadaceae,Sphingomonas sp. Ant20,Sphingomonas devorans,Gram-negative,Pathogenic,51
185,587753,Pseudomonadaceae,Pseudomonas chlororaphis,Pseudomonas chlororaphis,Gram-negative,Potentially pathogenic,55
186,706436,Flavobacteriaceae,Capnocytophaga sp. oral taxon 329,Capnocytophaga granulosa,Gram-negative,Pathogenic,55
187,754093,Enterobacteriaceae,Shigella dysenteriae,Shigella dysenteriae,Gram-negative,Pathogenic,51
188,157782,Pseudomonadaceae,Pseudomonas parafulva,Pseudomonas parafulva,Gram-negative,Potentially pathogenic,55
189,1262452,Streptomycetaceae,Streptomyces sp. 769,Streptomyces,Gram-positive,Potentially pathogenic,37
190,1500960,Campylobacteraceae,Campylobacter sp. RM16704,Campylobacter coli,Gram-negative,Pathogenic,44
191,1031564,Campylobacteraceae,Campylobacter insulaenigrae,Campylobacter insulaenigrae,Gram-negative,Potentially pathogenic,44
192,1543706,Bacillaceae,Halobacillus sp. BBL2006,Lactobacillus delbrueckii bulgaricus,Gram-positive,Pathogenic,6
193,1565314,Sulfurospirillaceae,Sulfurospirillum sp. MES,(unknown name),Gram-negative,Unknown,44
194,1217052,Burkholderiaceae,Ralstonia sp. A12,Ralstonia,Gram-negative,Potentially pathogenic,52
195,706570,Pseudomonadaceae,Pseudomonas flexibilis,Pseudomonas flexibilis,Gram-negative,Potentially pathogenic,55
196,1577905,Roseobacteraceae,Tateyamaria sp. ANG-S1,(unknown name),Gram-negative,Unknown,51
197,363331,Weeksellaceae,Chryseobacterium taiwanense,Chryseobacterium taiwanense,Gram-negative,Potentially pathogenic,55
198,1002340,Roseobacteraceae,Leisingera sp. ANG1,(unknown name),Gram-negative,Unknown,51
199,1041138,Rhizobiaceae,Rhizobium gallicum,Rhizobium gallicum,Gram-negative,Potentially pathogenic,51
200,1123366,Thalassospiraceae,Thalassospira xiamenensis,Thalassospira xiamenensis,Gram-negative,Non-pathogenic,51
201,546263,Neisseriaceae,Neisseria elongata,Neisseria elongata,Gram-negative,Pathogenic,51
202,1081613,Streptomycetaceae,Streptomyces albus,Streptomyces albus,Gram-positive,Potentially pathogenic,37
203,294,Pseudomonadaceae,Pseudomonas fluorescens,Pseudomonas fluorescens,Gram-negative,Pathogenic,55
204,1848903,Flavobacteriaceae,Capnocytophaga canis,Capnocytophaga canis,Gram-negative,Potentially pathogenic,55
205,1069985,Sphingobacteriaceae,Pedobacter kyungheensis,Pedobacter kyungheensis,Gram-negative,Non-pathogenic,54
206,266749,Weeksellaceae,Kaistella jeonii,Chryseobacterium jeonii,Gram-negative,Potentially pathogenic,55
207,1577902,Roseobacteraceae,Leisingera sp. ANG-M7,(unknown name),Gram-negative,Unknown,51
208,1577904,Roseobacteraceae,Ruegeria sp. ANG-S4,(unknown name),Gram-negative,Unknown,51
209,1577903,Roseobacteraceae,Ruegeria sp. ANG-R,(unknown name),Gram-negative,Unknown,51
210,43657,Pseudoalteromonadaceae,Pseudoalteromonas luteoviolacea,Pseudoalteromonas luteoviolacea,Gram-negative,Non-pathogenic,56
211,1574623,Oscillatoriaceae,Lyngbya confervoides,Lyngbya confervoides,Gram-negative,Non-pathogenic,5
212,1576605,Streptomycetaceae,Streptomyces sp. 150FB,Streptomyces,Gram-positive,Potentially pathogenic,37
213,272627,Magnetospirillaceae,Paramagnetospirillum magnetotacticum,(unknown name),Gram-negative,Unknown,51
214,1572758,Zoogloeaceae,Thauera sp. SWB20,(unknown name),Gram-negative,Unknown,52
215,866350,Halomonadaceae,Halomonas sp. KHS3,Halomonas hamiltonii,Gram-negative,Pathogenic,56
216,1521167,Shewanellaceae,Shewanella sp. cp20,Shewanella algae,Gram-negative,Pathogenic,56
217,1547597,Porphyromonadaceae,Sanguibacteroides justesenii,(unknown name),Gram-negative,Unknown,55
218,58133,Nitrosomonadaceae,Nitrosospira sp. NpAV,(unknown name),Gram-negative,Unknown,52
219,1328314,Pseudomonadaceae,Azotobacter chroococcum,Azotobacter chroococcum,Gram-negative,Non-pathogenic,55
220,68895,Burkholderiaceae,Cupriavidus basilensis,Cupriavidus basilensis,Gram-negative,Potentially pathogenic,52
221,1611770,Pseudomonadaceae,Pseudomonas sp. MRSN 12121,Pseudomonas fulva,Gram-negative,Pathogenic,55
222,477245,Streptomycetaceae,Streptomyces cyaneogriseus,Streptomyces cyaneogriseus,Gram-positive,Potentially pathogenic,37
223,1384061,Pseudomonadaceae,Pseudomonas putida,Pseudomonas putida,Gram-negative,Pathogenic,55
224,1445510,Saccharospirillaceae,Gynuella sunshinyii,Gynuella sunshinyii,Gram-negative,Non-pathogenic,55
225,658445,Vibrionaceae,Photobacterium gaetbulicola,Photobacterium gaetbulicola,Gram-negative,Potentially pathogenic,55
226,484429,Sphingomonadaceae,Sphingobium sp. YBL2,Sphingobacterium multivorum,Gram-negative,Pathogenic,51
227,568707,Alcaligenaceae,Bordetella bronchiseptica,Bordetella bronchiseptica,Gram-negative,Pathogenic,52
228,1219050,Sphingomonadaceae,Sphingomonas paucimobilis,Sphingomonas paucimobilis,Gram-negative,Pathogenic,50
229,1435038,Lactobacillaceae,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,Gram-positive,Potentially pathogenic,7
230,47880,Pseudomonadaceae,Pseudomonas fulva,Pseudomonas fulva,Gram-negative,Pathogenic,55
231,358,Rhizobiaceae,Agrobacterium tumefaciens,Agrobacterium radiobacter,Gram-negative,Pathogenic,51
232,1123501,Roseobacteraceae,Wenxinia marina,Wenxinia marina,Gram-negative,Non-pathogenic,51
233,1588629,Aeromonadaceae,Aeromonas sp. L_1B5_3,Aeromonas caviae,Gram-negative,Pathogenic,56
234,1423,Bacillaceae,Bacillus subtilis,Bacillus subtilis,Gram-positive,Pathogenic,7
235,1566358,Paenibacillaceae,Paenibacillus sp. IHBB 10380,Paenibacillus alvei,Gram-positive,Pathogenic,7
236,1486262,Aurantimonadaceae,Martelella endophytica,Martelella endophytica,Gram-negative,Non-pathogenic,51
237,1504981,Halomonadaceae,Halomonas sp. KO116,Halomonas hamiltonii,Gram-negative,Pathogenic,56
238,1615909,Geminocystaceae,Geminocystis sp. NIES-3708,(unknown name),Gram-negative,Unknown,5
239,1617448,Geminocystaceae,Geminocystis sp. NIES-3709,(unknown name),Gram-negative,Unknown,5
240,1500686,Pseudomonadaceae,Pseudomonas sp. Os17,Robbsia andropogonis,Gram-negative,Pathogenic,55
241,1610576,Halomonadaceae,Halomonas sp. R57-5,Halomonas hamiltonii,Gram-negative,Pathogenic,56
242,90371,Enterobacteriaceae,Salmonella enterica,Salmonella enterica,Gram-negative,Pathogenic,52
243,85698,Alcaligenaceae,Achromobacter xylosoxidans,Achromobacter xylosoxidans,Gram-negative,Pathogenic,52
